"Numéro du parti politique";"Nom du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux total de vote";"Nombre de circonscriptions en avance";"Taux de circonscriptions en avance"
"6";"Parti libéral du Québec/Quebec Liberal Party";"P.L.Q./Q.L.P.";"1757071";"41.5161";"70";"56.0"
"8";"Parti québécois";"P.Q.";"1074120";"25.3793";"30";"24.0"
"27";"Coalition avenir Québec - L'équipe François Legault";"C.A.Q.-É.F.L.";"975607";"23.0517";"22";"17.6"
"11";"Québec solidaire";"Q.S.";"323124";"7.6348";"3";"2.4"
"26";"Option nationale - Pour l'indépendance du Québec";"O.N. - P.I.Q.";"30697";"0.7253";"0";"0.0"
"10";"Parti vert du Québec/Green Party of Québec";"P.V.Q./G.P.Q.";"23163";"0.5473";"0";"0.0"
"22";"Équipe Adrien Pouliot - Parti conservateur du Québec";"É.A.P. - P.C.Q.";"16429";"0.3882";"0";"0.0"
"0";"Candidats indépendants/Independent candidates";"Ind.";"15361";"0.363";"0";"0.0"
"23";"Parti nul";"P.N.";"7539";"0.1781";"0";"0.0"
"2";"Bloc pot";"B.P.";"2690";"0.0636";"0";"0.0"
"7";"Parti marxiste-léniniste du Québec";"P.M.L.Q.";"2016";"0.0476";"0";"0.0"
"28";"Parti équitable";"P.Éq.";"1645";"0.0389";"0";"0.0"
"31";"Parti des sans parti";"P.S.P.";"1291";"0.0305";"0";"0.0"
"33";"Mon pays le Québec";"M.P.Q.";"521";"0.0123";"0";"0.0"
"29";"Équipe autonomiste";"É.A.";"400";"0.0095";"0";"0.0"
"4";"Parti unité nationale";"P.U.N.";"241";"0.0057";"0";"0.0"
"25";"Québec - Révolution démocratique";"Q.R.D.";"163";"0.0039";"0";"0.0"
"16";"Parti indépendantiste";"P.I.";"126";"0.003";"0";"0.0"
"32";"Union citoyenne du Québec / Québec Citizens' Union";"U.C.Q./Q.C.U.";"58";"0.0014";"0";"0.0"
