"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"451";"236";"Loranger";"Sylvain";"27";"C.A.Q.-É.F.L.";"5757";"17.62";"0"
"451";"880";"Paradis";"Anik";"11";"Q.S.";"1545";"4.73";"0"
"451";"894";"Jitaru";"Bianca";"10";"P.V.Q./G.P.Q.";"348";"1.07";"0"
"451";"544";"Mirabella";"David";"22";"É.A.P. - P.C.Q.";"98";"0.3";"0"
"451";"838";"Rieussec";"Maël";"26";"O.N. - P.I.Q.";"84";"0.26";"0"
"495";"241";"D'Amours";"Sylvie";"27";"C.A.Q.-É.F.L.";"16359";"39.24";"2069"
"495";"127";"Beaudoin";"Denise";"8";"P.Q.";"14290";"34.28";"0"
"495";"822";"Boisvert";"Ismaël";"6";"P.L.Q./Q.L.P.";"8068";"19.35";"0"
"495";"837";"Jaccoud";"Mylène";"11";"Q.S.";"2543";"6.1";"0"
"495";"829";"Linskiy";"Andre";"22";"É.A.P. - P.C.Q.";"229";"0.55";"0"
"495";"936";"Jean-Louis";"Curtis";"26";"O.N. - P.I.Q.";"200";"0.48";"0"
"233";"810";"Roy";"Nathalie";"27";"C.A.Q.-É.F.L.";"14999";"35.04";"1607"
"233";"489";"Gendron";"Jacques";"6";"P.L.Q./Q.L.P.";"13392";"31.29";"0"
"233";"668";"Prévost";"Simon";"8";"P.Q.";"11268";"26.32";"0"
"233";"368";"Ostiguy";"Jean Marc";"11";"Q.S.";"2845";"6.65";"0"
"233";"602";"van Duyse";"Anthony";"26";"O.N. - P.I.Q.";"301";"0.7";"0"
"673";"339";"Bernier";"Raymond";"6";"P.L.Q./Q.L.P.";"17113";"40.42";"2790"
"673";"126";"St-Laurent";"Michelyne C.";"27";"C.A.Q.-É.F.L.";"14323";"33.83";"0"
"673";"105";"Guimond";"Michel";"8";"P.Q.";"7242";"17.11";"0"
"673";"404";"Duchesneau";"Jean-Pierre";"11";"Q.S.";"1981";"4.68";"0"
"673";"94";"Pouliot";"Adrien";"22";"É.A.P. - P.C.Q.";"1015";"2.4";"0"
"673";"719";"Parent";"Marielle";"10";"P.V.Q./G.P.Q.";"407";"0.96";"0"
"673";"617";"Bouchard";"Jean";"26";"O.N. - P.I.Q.";"255";"0.6";"0"
"419";"129";"Arcand";"Pierre";"6";"P.L.Q./Q.L.P.";"23297";"80.06";"21277"
"419";"257";"Leboeuf";"Jamilla";"27";"C.A.Q.-É.F.L.";"2020";"6.94";"0"
"419";"575";"Beauséjour";"Audrey";"8";"P.Q.";"1603";"5.51";"0"
"419";"390";"Semak";"Roy";"11";"Q.S.";"1440";"4.95";"0"
"419";"79";"Giraud";"Darryl L";"10";"P.V.Q./G.P.Q.";"526";"1.81";"0"
"419";"139";"Floch";"Hélène";"22";"É.A.P. - P.C.Q.";"161";"0.55";"0"
"419";"295";"Johnston";"Diane";"7";"P.M.L.Q.";"51";"0.18";"0"
"411";"652";"Coiteux";"Martin";"6";"P.L.Q./Q.L.P.";"36494";"80.34";"32191"
"411";"465";"Bitton";"Albert";"27";"C.A.Q.-É.F.L.";"4303";"9.47";"0"
"411";"357";"Bénard";"Louis-David";"8";"P.Q.";"3153";"6.94";"0"
"411";"500";"Bourassa";"Charles";"10";"P.V.Q./G.P.Q.";"1060";"2.33";"0"
"411";"605";"Landry";"François";"26";"O.N. - P.I.Q.";"245";"0.54";"0"
"411";"776";"Pinto";"Trevor";"22";"É.A.P. - P.C.Q.";"169";"0.37";"0"
"329";"182";"Martel";"Donald";"27";"C.A.Q.-É.F.L.";"11168";"38.64";"3130"
"329";"633";"Vallée";"Denis";"6";"P.L.Q./Q.L.P.";"8038";"27.81";"0"
"329";"132";"Dubois";"Jean-René";"8";"P.Q.";"6433";"22.26";"0"
"329";"898";"Dion";"Marc";"11";"Q.S.";"2290";"7.92";"0"
"329";"630";"Lachapelle";"Marjolaine";"26";"O.N. - P.I.Q.";"638";"2.21";"0"
"329";"632";"Laquerre";"Guillaume";"22";"É.A.P. - P.C.Q.";"333";"1.15";"0"
"401";"370";"Weil";"Kathleen";"6";"P.L.Q./Q.L.P.";"22336";"76.61";"20172"
"401";"308";"Desjardins";"Annick";"11";"Q.S.";"2164";"7.42";"0"
"401";"555";"Sidel";"Noah";"27";"C.A.Q.-É.F.L.";"1649";"5.66";"0"
"401";"611";"Sirard";"Olivier";"8";"P.Q.";"1610";"5.52";"0"
"401";"303";"Tyrrell";"Alex";"10";"P.V.Q./G.P.Q.";"1318";"4.52";"0"
"401";"304";"Hoffman";"Rachel";"7";"P.M.L.Q.";"78";"0.27";"0"
"123";"369";"Reid";"Pierre";"6";"P.L.Q./Q.L.P.";"13055";"44.09";"5288"
"123";"181";"Breton";"Michel";"8";"P.Q.";"7767";"26.23";"0"
"123";"507";"Bourget";"Marc-Alexandre";"27";"C.A.Q.-É.F.L.";"6227";"21.03";"0"
"123";"787";"Tremblay";"Patricia";"11";"Q.S.";"2291";"7.74";"0"
"123";"764";"Spick";"Denis";"26";"O.N. - P.I.Q.";"273";"0.92";"0"
"421";"778";"David";"Hélène";"6";"P.L.Q./Q.L.P.";"15368";"56.34";"10747"
"421";"412";"Laperle";"Édith";"11";"Q.S.";"4621";"16.94";"0"
"421";"270";"Gendron";"Roxanne";"8";"P.Q.";"3993";"14.64";"0"
"421";"481";"McCann";"Rebecca";"27";"C.A.Q.-É.F.L.";"2252";"8.26";"0"
"421";"276";"Brière";"Théo";"10";"P.V.Q./G.P.Q.";"615";"2.25";"0"
"421";"673";"Marcil";"Mathieu";"23";"P.N.";"192";"0.7";"0"
"421";"407";"Vaillancourt";"Galia";"26";"O.N. - P.I.Q.";"154";"0.56";"0"
"421";"720";"Pouliot";"Simon";"22";"É.A.P. - P.C.Q.";"80";"0.29";"0"
"553";"309";"Iraca";"Alexandre";"6";"P.L.Q./Q.L.P.";"18330";"50.35";"9355"
"553";"134";"Primeau";"Jean-Francois";"8";"P.Q.";"8975";"24.65";"0"
"553";"505";"Langelier";"René";"27";"C.A.Q.-É.F.L.";"5860";"16.1";"0"
"553";"248";"Sarazin";"Marc";"11";"Q.S.";"2432";"6.68";"0"
"553";"707";"Gagné";"Christine";"23";"P.N.";"498";"1.37";"0"
"553";"902";"Beauchamp";"Jonathan";"26";"O.N. - P.I.Q.";"309";"0.85";"0"
"369";"249";"Léger";"Nicole";"8";"P.Q.";"12021";"43.22";"5329"
"369";"643";"Binette";"Mathieu";"27";"C.A.Q.-É.F.L.";"6692";"24.06";"0"
"369";"749";"Blais";"Claude";"6";"P.L.Q./Q.L.P.";"6229";"22.4";"0"
"369";"884";"Larocque";"Natacha";"11";"Q.S.";"2165";"7.78";"0"
"369";"823";"Cox";"David";"10";"P.V.Q./G.P.Q.";"332";"1.19";"0"
"369";"725";"Goyette-Gingras";"Camille";"26";"O.N. - P.I.Q.";"234";"0.84";"0"
"369";"259";"Royer";"Geneviève";"7";"P.M.L.Q.";"82";"0.29";"0"
"369";"296";"Chandonnet";"Louis";"29";"É.A.";"56";"0.2";"0"
"563";"272";"Fortin";"André";"6";"P.L.Q./Q.L.P.";"25659";"75.76";"22633"
"563";"516";"Mongeon";"Michel";"27";"C.A.Q.-É.F.L.";"3026";"8.93";"0"
"563";"298";"Vallières-Murray";"Maryse";"8";"P.Q.";"2897";"8.55";"0"
"563";"537";"Levy";"Charmain";"11";"Q.S.";"2157";"6.37";"0"
"563";"460";"Lang";"Louis";"7";"P.M.L.Q.";"131";"0.39";"0"
"599";"438";"Matte";"Michel";"6";"P.L.Q./Q.L.P.";"12779";"41.42";"1059"
"599";"74";"Marcotte";"Jacques";"27";"C.A.Q.-É.F.L.";"11720";"37.99";"0"
"599";"153";"Genois";"Hugues";"8";"P.Q.";"4525";"14.67";"0"
"599";"746";"Côté";"Catherine";"11";"Q.S.";"1209";"3.92";"0"
"599";"131";"Beaulieu";"Daniel";"22";"É.A.P. - P.C.Q.";"391";"1.27";"0"
"599";"870";"Grimard";"Stéphanie";"26";"O.N. - P.I.Q.";"227";"0.74";"0"
"753";"128";"Dufour";"Marjolain";"8";"P.Q.";"11029";"55.0";"6663"
"753";"679";"Levesque";"Michel";"6";"P.L.Q./Q.L.P.";"4366";"21.77";"0"
"753";"572";"Fortin-Morand";"Marie-Christine";"27";"C.A.Q.-É.F.L.";"3152";"15.72";"0"
"753";"887";"Clavette";"Marie-Pierre";"11";"Q.S.";"1297";"6.47";"0"
"753";"264";"Boivin Ringuette";"Nicolas";"26";"O.N. - P.I.Q.";"207";"1.03";"0"
"367";"292";"Lavallée";"Lise";"27";"C.A.Q.-É.F.L.";"13889";"36.07";"948"
"367";"101";"McKay";"Scott";"8";"P.Q.";"12941";"33.61";"0"
"367";"273";"Nantel";"Robert";"6";"P.L.Q./Q.L.P.";"8721";"22.65";"0"
"367";"180";"Huard";"Olivier";"11";"Q.S.";"2490";"6.47";"0"
"367";"644";"Strasbourg";"Christian";"26";"O.N. - P.I.Q.";"260";"0.68";"0"
"367";"592";"Lacombe";"Pierre";"22";"É.A.P. - P.C.Q.";"204";"0.53";"0"
"253";"239";"Zakaïb";"Élaine";"8";"P.Q.";"11695";"39.02";"3659"
"253";"715";"Baller";"Martin";"27";"C.A.Q.-É.F.L.";"8036";"26.81";"0"
"253";"326";"Plante";"Alain";"6";"P.L.Q./Q.L.P.";"7687";"25.65";"0"
"253";"448";"Mathieu";"Marie-Ève";"11";"Q.S.";"1589";"5.3";"0"
"253";"627";"Tremblay";"Jean-François";"26";"O.N. - P.I.Q.";"403";"1.34";"0"
"253";"558";"Bourgault";"Claude";"10";"P.V.Q./G.P.Q.";"346";"1.15";"0"
"253";"406";"Gaudet";"Marc";"22";"É.A.P. - P.C.Q.";"215";"0.72";"0"
"283";"243";"Vallières";"Karine";"6";"P.L.Q./Q.L.P.";"17178";"41.16";"5657"
"283";"594";"Boucher";"Etienne-Alexis";"8";"P.Q.";"11521";"27.6";"0"
"283";"432";"Dion";"Alain";"27";"C.A.Q.-É.F.L.";"9197";"22.04";"0"
"283";"761";"Landry";"Colombe";"11";"Q.S.";"2833";"6.79";"0"
"283";"653";"Dion-Fontaine";"Aurélie";"10";"P.V.Q./G.P.Q.";"563";"1.35";"0"
"283";"881";"Proulx";"Vincent";"26";"O.N. - P.I.Q.";"236";"0.57";"0"
"283";"774";"Côté";"Dave";"22";"É.A.P. - P.C.Q.";"209";"0.5";"0"
"703";"168";"Lebel";"Harold";"8";"P.Q.";"12028";"40.58";"3140"
"703";"289";"Huot";"Pierre";"6";"P.L.Q./Q.L.P.";"8888";"29.99";"0"
"703";"453";"Besner";"Marie-Neige";"11";"Q.S.";"4851";"16.37";"0"
"703";"671";"Fleurent";"Steven";"27";"C.A.Q.-É.F.L.";"3186";"10.75";"0"
"703";"536";"Beaudoin";"Pierre";"26";"O.N. - P.I.Q.";"327";"1.1";"0"
"703";"693";"Gagnon";"Pier-Luc";"23";"P.N.";"219";"0.74";"0"
"703";"584";"Cyr";"Tom-Henri";"2";"B.P.";"138";"0.47";"0"
"699";"254";"D'Amour";"Jean";"6";"P.L.Q./Q.L.P.";"18086";"51.69";"9708"
"699";"269";"Lagacé";"Michel";"8";"P.Q.";"8378";"23.95";"0"
"699";"323";"Roy";"Charles";"27";"C.A.Q.-É.F.L.";"5794";"16.56";"0"
"699";"428";"Gagnon";"Louis";"11";"Q.S.";"2129";"6.09";"0"
"699";"430";"Malenfant";"Frank";"31";"P.S.P.";"354";"1.01";"0"
"699";"429";"Massé";"Étienne";"26";"O.N. - P.I.Q.";"245";"0.7";"0"
"413";"635";"Leitao";"Carlos J";"6";"P.L.Q./Q.L.P.";"36763";"87.27";"34602"
"413";"674";"Allen";"Jamie";"27";"C.A.Q.-É.F.L.";"2161";"5.13";"0"
"413";"335";"Comtois-Lussier";"Michaël";"8";"P.Q.";"1557";"3.7";"0"
"413";"472";"Faour";"Ali";"11";"Q.S.";"794";"1.88";"0"
"413";"123";"Mireault";"Mathieu";"10";"P.V.Q./G.P.Q.";"607";"1.44";"0"
"413";"733";"Popert";"Patricia";"22";"É.A.P. - P.C.Q.";"146";"0.35";"0"
"413";"779";"Martinova-Croteau";"Viviane";"26";"O.N. - P.I.Q.";"96";"0.23";"0"
"783";"403";"Couillard";"Philippe";"6";"P.L.Q./Q.L.P.";"17816";"55.17";"7052"
"783";"388";"Trottier";"Denis";"8";"P.Q.";"10764";"33.33";"0"
"783";"328";"Truchon";"François";"27";"C.A.Q.-É.F.L.";"2239";"6.93";"0"
"783";"857";"Néron";"Guillaume";"11";"Q.S.";"1018";"3.15";"0"
"783";"566";"Boucher";"Julie";"31";"P.S.P.";"237";"0.73";"0"
"783";"748";"Cauchon";"Luc-Antoine";"26";"O.N. - P.I.Q.";"218";"0.68";"0"
"379";"85";"Lisée";"Jean-François";"8";"P.Q.";"12712";"34.27";"1598"
"379";"695";"Valade";"Thiery";"6";"P.L.Q./Q.L.P.";"11114";"29.96";"0"
"379";"203";"Trudelle";"Jean";"11";"Q.S.";"6930";"18.68";"0"
"379";"745";"Dubois";"Carl";"27";"C.A.Q.-É.F.L.";"5252";"14.16";"0"
"379";"934";"Svetoushkina";"Ksenia";"10";"P.V.Q./G.P.Q.";"488";"1.32";"0"
"379";"842";"Labelle";"Sophie-Geneviève";"26";"O.N. - P.I.Q.";"321";"0.87";"0"
"379";"743";"Babin";"Matthew";"2";"B.P.";"200";"0.54";"0"
"379";"351";"Chénier";"Stéphane";"7";"P.M.L.Q.";"78";"0.21";"0"
"515";"178";"Marceau";"Nicolas";"8";"P.Q.";"15480";"38.73";"813"
"515";"244";"Charette";"Claude";"27";"C.A.Q.-É.F.L.";"14667";"36.7";"0"
"515";"763";"Racette";"Mario";"6";"P.L.Q./Q.L.P.";"6911";"17.29";"0"
"515";"405";"Lépine";"François";"11";"Q.S.";"2548";"6.38";"0"
"515";"660";"St-Onge";"Chantal";"26";"O.N. - P.I.Q.";"362";"0.91";"0"
"567";"689";"Blanchette";"Luc";"6";"P.L.Q./Q.L.P.";"10644";"37.98";"1610"
"567";"359";"Chapadeau";"Gilles";"8";"P.Q.";"9034";"32.24";"0"
"567";"806";"Flebus";"Bernard";"27";"C.A.Q.-É.F.L.";"4839";"17.27";"0"
"567";"664";"Leclerc";"Guy";"11";"Q.S.";"3239";"11.56";"0"
"567";"831";"Dallaire";"Ghislain";"26";"O.N. - P.I.Q.";"269";"0.96";"0"
"111";"354";"Hardy";"Guy";"6";"P.L.Q./Q.L.P.";"14899";"38.53";"2174"
"111";"130";"Hébert";"Réjean";"8";"P.Q.";"12725";"32.91";"0"
"111";"288";"Stratford";"Gaston";"27";"C.A.Q.-É.F.L.";"6607";"17.09";"0"
"111";"464";"Poulin";"André";"11";"Q.S.";"3136";"8.11";"0"
"111";"618";"Carbonneau";"Vincent J.";"10";"P.V.Q./G.P.Q.";"478";"1.24";"0"
"111";"419";"Lafrance";"Philippe";"2";"B.P.";"292";"0.76";"0"
"111";"661";"Boudou-Laforce";"Étienne";"26";"O.N. - P.I.Q.";"265";"0.69";"0"
"111";"282";"Collette";"Marcel";"22";"É.A.P. - P.C.Q.";"181";"0.47";"0"
"111";"541";"Lambert";"Lionel";"4";"P.U.N.";"82";"0.21";"0"
"393";"144";"Blais";"Marguerite";"6";"P.L.Q./Q.L.P.";"19795";"52.52";"11540"
"393";"188";"Fournier";"Véronique";"8";"P.Q.";"8255";"21.9";"0"
"393";"494";"Boulanger";"Louis-Philippe";"27";"C.A.Q.-É.F.L.";"4218";"11.19";"0"
"393";"195";"Alexander";"Molly";"11";"Q.S.";"4029";"10.69";"0"
"393";"548";"Sweeney";"Sharon";"10";"P.V.Q./G.P.Q.";"700";"1.86";"0"
"393";"858";"Kruzynski";"Anna";"23";"P.N.";"293";"0.78";"0"
"393";"916";"Forest";"Étienne";"26";"O.N. - P.I.Q.";"225";"0.6";"0"
"393";"563";"Sanchez";"Jairo Gaston";"2";"B.P.";"174";"0.46";"0"
"263";"731";"Soucy";"Chantal";"27";"C.A.Q.-É.F.L.";"13245";"32.74";"1222"
"263";"135";"Pelletier";"Émilien";"8";"P.Q.";"12023";"29.72";"0"
"263";"463";"Arpin";"Louise";"6";"P.L.Q./Q.L.P.";"11701";"28.92";"0"
"263";"420";"Pelland";"Danielle";"11";"Q.S.";"2806";"6.94";"0"
"263";"726";"Pothier";"Éric";"26";"O.N. - P.I.Q.";"374";"0.92";"0"
"263";"476";"Labbé";"Simon";"22";"É.A.P. - P.C.Q.";"304";"0.75";"0"
"189";"78";"Turcotte";"Dave";"8";"P.Q.";"13486";"32.44";"563"
"189";"431";"Tremblay";"Serge";"27";"C.A.Q.-É.F.L.";"12923";"31.08";"0"
"189";"162";"Denis";"Marie-Josée";"6";"P.L.Q./Q.L.P.";"11845";"28.49";"0"
"189";"672";"Lusignan";"Carole";"11";"Q.S.";"2693";"6.48";"0"
"189";"843";"Bossé Bélanger";"Jade";"26";"O.N. - P.I.Q.";"386";"0.93";"0"
"189";"910";"Grenier";"Maryse";"22";"É.A.P. - P.C.Q.";"243";"0.58";"0"
"505";"496";"Péladeau";"Pierre Karl";"8";"P.Q.";"13647";"36.81";"1962"
"505";"589";"Charbonneau";"Patrice";"27";"C.A.Q.-É.F.L.";"11685";"31.52";"0"
"505";"601";"Dubois";"Armand";"6";"P.L.Q./Q.L.P.";"7400";"19.96";"0"
"505";"775";"Lemay-Thivierge";"Vincent";"11";"Q.S.";"3991";"10.76";"0"
"505";"758";"Trottier-Kavanagh";"Mathieu";"26";"O.N. - P.I.Q.";"200";"0.54";"0"
"505";"278";"Morin";"Bruno";"22";"É.A.P. - P.C.Q.";"151";"0.41";"0"
"417";"336";"Fournier";"Jean-Marc";"6";"P.L.Q./Q.L.P.";"31454";"82.28";"28348"
"417";"418";"Bandou";"Rachid";"8";"P.Q.";"3106";"8.13";"0"
"417";"194";"Kadiri";"Hasnaa";"11";"Q.S.";"2100";"5.49";"0"
"417";"291";"Diallo";"Tidiane";"10";"P.V.Q./G.P.Q.";"796";"2.08";"0"
"417";"155";"Morissette";"Guy";"22";"É.A.P. - P.C.Q.";"420";"1.1";"0"
"417";"770";"Beaudry";"Jennifer";"26";"O.N. - P.I.Q.";"236";"0.62";"0"
"417";"173";"Deschamps";"Fernand";"7";"P.M.L.Q.";"115";"0.3";"0"
"389";"235";"Massé";"Manon";"11";"Q.S.";"8437";"30.6";"91"
"389";"797";"Klisko";"Anna";"6";"P.L.Q./Q.L.P.";"8346";"30.27";"0"
"389";"83";"Breton";"Daniel";"8";"P.Q.";"7612";"27.61";"0"
"389";"892";"Thauvette";"Patrick";"27";"C.A.Q.-É.F.L.";"2364";"8.57";"0"
"389";"300";"Wiseman";"Stewart";"10";"P.V.Q./G.P.Q.";"393";"1.43";"0"
"389";"583";"Payne";"Nic";"26";"O.N. - P.I.Q.";"210";"0.76";"0"
"389";"795";"Bissonnette";"Marc";"2";"B.P.";"164";"0.59";"0"
"389";"799";"Lachapelle";"Serge";"7";"P.M.L.Q.";"47";"0.17";"0"
"343";"475";"Giguère";"Pierre";"6";"P.L.Q./Q.L.P.";"8244";"33.59";"653"
"343";"367";"Trudel";"Luc";"8";"P.Q.";"7591";"30.93";"0"
"343";"529";"Mongeau";"Stéphane";"27";"C.A.Q.-É.F.L.";"6982";"28.45";"0"
"343";"514";"Audet";"Marie-Line";"11";"Q.S.";"1304";"5.31";"0"
"343";"343";"Lapointe";"Jonathan";"22";"É.A.P. - P.C.Q.";"268";"1.09";"0"
"343";"903";"Guillemette";"Jean";"26";"O.N. - P.I.Q.";"152";"0.62";"0"
"447";"640";"Habel";"Jean";"6";"P.L.Q./Q.L.P.";"16520";"42.2";"5839"
"447";"401";"Proulx";"Suzanne";"8";"P.Q.";"10681";"27.29";"0"
"447";"225";"Cavaliere";"Domenico";"27";"C.A.Q.-É.F.L.";"9413";"24.05";"0"
"447";"890";"da Silva Pereira";"André";"11";"Q.S.";"2262";"5.78";"0"
"447";"678";"Forget";"Bruno";"26";"O.N. - P.I.Q.";"269";"0.69";"0"
"177";"281";"Therrien";"Alain";"8";"P.Q.";"10096";"35.06";"949"
"177";"847";"Leftakis";"Denis ";"27";"C.A.Q.-É.F.L.";"9147";"31.77";"0"
"177";"340";"Pellerin";"Jean Paul";"6";"P.L.Q./Q.L.P.";"7301";"25.36";"0"
"177";"345";"Laramée";"Christian";"11";"Q.S.";"1650";"5.73";"0"
"177";"408";"Moreau";"Robert";"26";"O.N. - P.I.Q.";"271";"0.94";"0"
"177";"850";"Dagenais";"Alexandre";"22";"É.A.P. - P.C.Q.";"213";"0.74";"0"
"177";"290";"Héroux";"Hélène";"7";"P.M.L.Q.";"116";"0.4";"0"
"113";"532";"Fortin";"Luc";"6";"P.L.Q./Q.L.P.";"12380";"36.44";"1855"
"113";"458";"Cardin";"Serge";"8";"P.Q.";"10525";"30.98";"0"
"113";"780";"Girard";"Philippe";"27";"C.A.Q.-É.F.L.";"5672";"16.69";"0"
"113";"447";"Pigot";"Hélène";"11";"Q.S.";"4393";"12.93";"0"
"113";"738";"Andrews";"Jeremy";"10";"P.V.Q./G.P.Q.";"328";"0.97";"0"
"113";"803";"Campbell";"Jean-Simon";"26";"O.N. - P.I.Q.";"321";"0.94";"0"
"113";"836";"Drogue";"François";"22";"É.A.P. - P.C.Q.";"181";"0.53";"0"
"113";"493";"Roy";"Jossy";"2";"B.P.";"130";"0.38";"0"
"113";"864";"Richard";"Hubert";"0";"Ind";"48";"0.14";"0"
"163";"142";"Charlebois";"Lucie";"6";"P.L.Q./Q.L.P.";"18925";"54.4";"7923"
"163";"160";"Séguin";"Marie-Louise";"8";"P.Q.";"11002";"31.62";"0"
"163";"413";"Bessette";"Andrée";"11";"Q.S.";"3425";"9.84";"0"
"163";"542";"Domingos";"Patricia";"28";"P.Éq.";"961";"2.76";"0"
"163";"699";"Marquis";"Patrick";"26";"O.N. - P.I.Q.";"478";"1.37";"0"
"223";"456";"Lamarre";"Diane";"8";"P.Q.";"12148";"33.8";"1372"
"223";"226";"Tessier";"Maxime";"6";"P.L.Q./Q.L.P.";"10776";"29.98";"0"
"223";"587";"Vaillancourt";"Sébastien";"27";"C.A.Q.-É.F.L.";"8704";"24.22";"0"
"223";"851";"Blanchard";"Manon";"11";"Q.S.";"3994";"11.11";"0"
"223";"623";"Gervais-Després";"Éric";"26";"O.N. - P.I.Q.";"320";"0.89";"0"
"633";"209";"Maltais";"Agnès";"8";"P.Q.";"11376";"31.66";"451"
"633";"230";"Tanlet";"Florent";"6";"P.L.Q./Q.L.P.";"10925";"30.4";"0"
"633";"415";"Brabant";"Steve";"27";"C.A.Q.-É.F.L.";"5865";"16.32";"0"
"633";"198";"Duchesne";"Marie-Ève";"11";"Q.S.";"5495";"15.29";"0"
"633";"922";"Dorion";"Catherine";"26";"O.N. - P.I.Q.";"1513";"4.21";"0"
"633";"909";"Savard";"Jean-Luc";"23";"P.N.";"385";"1.07";"0"
"633";"374";"Deblois";"Anne";"22";"É.A.P. - P.C.Q.";"198";"0.55";"0"
"633";"914";"Drolet";"Sylvain";"31";"P.S.P.";"127";"0.35";"0"
"633";"274";"Boivin";"Guy";"29";"É.A.";"49";"0.14";"0"
"453";"385";"Traversy";"Mathieu";"8";"P.Q.";"14450";"36.22";"743"
"453";"232";"Jarry";"Jean-François";"27";"C.A.Q.-É.F.L.";"13707";"34.36";"0"
"453";"591";"Glia";"Meriem";"6";"P.L.Q./Q.L.P.";"8780";"22.01";"0"
"453";"389";"Smith";"Yan";"11";"Q.S.";"2543";"6.37";"0"
"453";"933";"Jacob";"Jean-François";"26";"O.N. - P.I.Q.";"411";"1.03";"0"
"333";"275";"Girard";"Jean-Denis";"6";"P.L.Q./Q.L.P.";"11658";"39.16";"3206"
"333";"268";"Deschênes";"Alexis";"8";"P.Q.";"8452";"28.39";"0"
"333";"486";"Brunelle";"Diego";"27";"C.A.Q.-É.F.L.";"6634";"22.28";"0"
"333";"439";"Landry";"Jean-Claude";"11";"Q.S.";"2531";"8.5";"0"
"333";"284";"Bonneau";"Pierre-Louis";"22";"É.A.P. - P.C.Q.";"260";"0.87";"0"
"333";"908";"de Repentigny";"André";"26";"O.N. - P.I.Q.";"238";"0.8";"0"
"793";"781";"Boucher";"Jean";"6";"P.L.Q./Q.L.P.";"4615";"42.34";"1016"
"793";"313";"Ferland";"Luc";"8";"P.Q.";"3599";"33.02";"0"
"793";"471";"Cameron";"Michael Donald";"27";"C.A.Q.-É.F.L.";"1800";"16.51";"0"
"793";"347";"Richer";"André";"11";"Q.S.";"512";"4.7";"0"
"793";"901";"Allen-Mercier";"Zoé";"26";"O.N. - P.I.Q.";"235";"2.16";"0"
"793";"828";"Guillemette";"Matthew";"23";"P.N.";"140";"1.28";"0"
"229";"349";"Ouellet";"Martine";"8";"P.Q.";"11983";"33.06";"176"
"229";"321";"Bienvenu";"Michel";"6";"P.L.Q./Q.L.P.";"11807";"32.57";"0"
"229";"535";"Robichaud";"Stéphane";"27";"C.A.Q.-É.F.L.";"9164";"25.28";"0"
"229";"885";"Robert";"Sébastien";"11";"Q.S.";"2644";"7.29";"0"
"229";"766";"Boutin-Sinotte";"Hugo";"2";"B.P.";"371";"1.02";"0"
"229";"845";"Létourneau";"Josée";"26";"O.N. - P.I.Q.";"280";"0.77";"0"
"639";"451";"Huot";"Patrick";"6";"P.L.Q./Q.L.P.";"18398";"43.64";"3863"
"639";"76";"Lévesque";"Sylvain";"27";"C.A.Q.-É.F.L.";"14535";"34.48";"0"
"639";"378";"Dean";"Marc";"8";"P.Q.";"6337";"15.03";"0"
"639";"238";"Voisine";"Monique";"11";"Q.S.";"1920";"4.55";"0"
"639";"187";"Martin";"Jean-Alex";"22";"É.A.P. - P.C.Q.";"564";"1.34";"0"
"639";"348";"Fillion";"Mathieu";"26";"O.N. - P.I.Q.";"400";"0.95";"0"
"169";"324";"Nichols";"Marie-Claude";"6";"P.L.Q./Q.L.P.";"27750";"61.19";"20512"
"169";"613";"Archambault";"Marcos";"8";"P.Q.";"7238";"15.96";"0"
"169";"742";"Tison";"Luc";"27";"C.A.Q.-É.F.L.";"7084";"15.62";"0"
"169";"812";"Fortin Côté";"David";"11";"Q.S.";"2101";"4.63";"0"
"169";"524";"Radcliffe";"Thomas";"10";"P.V.Q./G.P.Q.";"584";"1.29";"0"
"169";"670";"Paul";"Michel";"22";"É.A.P. - P.C.Q.";"196";"0.43";"0"
"169";"581";"Leclerc";"Julien";"28";"P.Éq.";"190";"0.42";"0"
"169";"656";"Cauchon";"Jean-Gabriel";"26";"O.N. - P.I.Q.";"115";"0.25";"0"
"169";"442";"Dupré";"Léon";"33";"M.P.Q.";"90";"0.2";"0"
"249";"352";"Bergeron";"Stéphane";"8";"P.Q.";"18467";"42.59";"5307"
"249";"911";"Renaud";"Yves";"27";"C.A.Q.-É.F.L.";"13160";"30.35";"0"
"249";"317";"Rocheleau";"Simon";"6";"P.L.Q./Q.L.P.";"8213";"18.94";"0"
"249";"165";"Jarrousse";"Céline";"11";"Q.S.";"3074";"7.09";"0"
"249";"792";"Coulombe";"Mathieu";"26";"O.N. - P.I.Q.";"450";"1.04";"0"
"397";"503";"Daoust";"Jacques";"6";"P.L.Q./Q.L.P.";"17172";"50.59";"8901"
"397";"145";"Pintal";"Lorraine";"8";"P.Q.";"8271";"24.37";"0"
"397";"218";"Richer";"Benoit";"27";"C.A.Q.-É.F.L.";"4151";"12.23";"0"
"397";"680";"Pires";"Rosa";"11";"Q.S.";"3277";"9.65";"0"
"397";"688";"Bergeron-Bossé";"Antonin";"10";"P.V.Q./G.P.Q.";"713";"2.1";"0"
