"Numéro de la circonscription";"Numéro du candidat";"Nom";"Prénom";"Numéro du parti politique";"Abréviation du parti politique";"Nombre total de votes";"Taux de vote";"Nombre de votes en avance"
"561";"833";"Harb";"Eid";"26";"O.N. - P.I.Q.";"189";"0.57";"0"
"561";"515";"Girard Bernier";"Gabriel";"7";"P.M.L.Q.";"146";"0.44";"0"
"149";"196";"Billette";"Stéphane";"6";"P.L.Q./Q.L.P.";"14115";"48.57";"7240"
"149";"400";"IsaBelle";"Claire";"27";"C.A.Q.-É.F.L.";"6875";"23.65";"0"
"149";"395";"Hébert";"Huguette";"8";"P.Q.";"5893";"20.28";"0"
"149";"100";"Labelle";"Carmen";"11";"Q.S.";"1490";"5.13";"0"
"149";"691";"Bourdon";"Louis-Paul";"31";"P.S.P.";"301";"1.04";"0"
"149";"319";"De Martin";"Albert";"22";"É.A.P. - P.C.Q.";"277";"0.95";"0"
"149";"841";"Labrie";"Yann";"26";"O.N. - P.I.Q.";"113";"0.39";"0"
"143";"174";"Samson";"Claire";"27";"C.A.Q.-É.F.L.";"11135";"34.23";"886"
"143";"80";"Bouillé";"Marie";"8";"P.Q.";"10249";"31.5";"0"
"143";"437";"Tremblay";"Chantal";"6";"P.L.Q./Q.L.P.";"8602";"26.44";"0"
"143";"540";"Normandin";"Myriam-Zaa";"11";"Q.S.";"2283";"7.02";"0"
"143";"698";"Savard";"Claude";"26";"O.N. - P.I.Q.";"265";"0.81";"0"
"733";"446";"Chevarie";"Germain";"6";"P.L.Q./Q.L.P.";"4137";"50.07";"818"
"733";"384";"Richard";"Jeannine";"8";"P.Q.";"3319";"40.17";"0"
"733";"825";"Porowska";"Natalia";"11";"Q.S.";"499";"6.04";"0"
"733";"816";"Jomphe";"Mario-Michel";"27";"C.A.Q.-É.F.L.";"262";"3.17";"0"
"733";"915";"Boudreau";"David";"26";"O.N. - P.I.Q.";"46";"0.56";"0"
"409";"459";"Kelley";"Geoffrey";"6";"P.L.Q./Q.L.P.";"30823";"85.42";"28695"
"409";"561";"Deguire";"Denis";"27";"C.A.Q.-É.F.L.";"2128";"5.9";"0"
"409";"362";"Desroches";"Laurence";"8";"P.Q.";"1079";"2.99";"0"
"409";"107";"Maynard";"James";"10";"P.V.Q./G.P.Q.";"966";"2.68";"0"
"409";"821";"Belley";"Jean-François";"11";"Q.S.";"855";"2.37";"0"
"409";"422";"Fortier";"Louis-Charles";"22";"É.A.P. - P.C.Q.";"232";"0.64";"0"
"623";"491";"Drolet";"André";"6";"P.L.Q./Q.L.P.";"11645";"37.27";"4214"
"623";"526";"Foster";"Émilie";"27";"C.A.Q.-É.F.L.";"7431";"23.78";"0"
"623";"152";"Châteauvert";"Pierre";"8";"P.Q.";"6998";"22.4";"0"
"623";"648";"Bouchard";"Sébastien";"11";"Q.S.";"3626";"11.6";"0"
"623";"424";"Zanetti";"Sol";"26";"O.N. - P.I.Q.";"782";"2.5";"0"
"623";"814";"Dumais";"Sébastien";"23";"P.N.";"384";"1.23";"0"
"623";"366";"Garcia";"Andrés";"22";"É.A.P. - P.C.Q.";"246";"0.79";"0"
"623";"314";"Breton";"José";"0";"Ind";"93";"0.3";"0"
